Date,1,2 
20070101,46;51;51,43;45;45
20070102,43;48;48,48;56;56
20070103,39;46;46,50;54;54
20070104,44;51;51,45;52;52
20070105,51;57;57,44;49;49
20070106,55;64;64,40;50;50
20070107,46;51;46,45;53;53
20070108,40;49;49,43;53;53
20070109,37;41;41,49;56;56
20070110,31;35;35,45;49;49
20070111,29;35;35,41;46;46
20070112,39;45;45,41;44;44
20070113,46;52;52,38;44;44
20070114,42;44;44,36;43;43
20070115,41;46;46,36;46;46
20070116,25;41;41,37;45;45
20070117,21;26;26,41;47;47
20070118,25;32;32,38;48;48
20070121,21;26;21,55;60;60
20070122,28;31;31,44;54;54
20070123,30;34;34,41;51;51
20070124,34;37;37,42;51;51
20070125,17;27;27,45;49;49
20070126,11;18;18,44;48;48
